2024-07-28 09:11:10, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:12, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:12, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:12, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:12, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:12, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:12, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:12, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:13, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:13, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:13, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:13, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:13, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:13, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:13, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:13, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:13, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:13, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:12, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
