2024-07-28 09:21:51, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:21:51, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:21:51, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:21:51, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:21:51, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:21:51, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:21:51, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:21:51, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:21:52, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:21:52, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:52, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:52, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:52, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:52, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:52, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:52, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:52, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:52, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:53, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:53, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:53, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:53, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:53, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:53, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:53, DISTANCE = inf, DESIRED VELOCITY = 25.00
